Date,Company Name,Quater,Price,Open,High,Low,Close,Adj Close,Volume
2024-10-17,Google,Q4,162.9299927,165.7299957,166.3699951,162.7599945,162.9299927,162.7434692,21453400.0
2024-10-18,Google,Q4,163.4199982,163.1900024,164.7100067,163.0800018,163.4199982,163.2329254,19757700.0
2024-10-21,Google,Q4,164.0700073,162.9499969,164.5,162.6199951,164.0700073,163.8821869,20946500.0
2024-10-22,Google,Q4,165.1399994,162.9799957,165.7700043,162.9799957,165.1399994,164.9509583,16568100.0
2024-10-23,Google,Q4,162.7799988,164.7599945,165.8200073,161.9299927,162.7799988,162.5936584,18280500.0
2024-10-24,Google,Q4,162.7200012,162.8300018,163.3300018,161.0099945,162.7200012,162.5337219,22412500.0
2024-10-25,Google,Q4,165.2700043,163.6699982,165.5899963,163.4199982,165.2700043,165.0808105,19828900.0
2024-10-28,Google,Q4,166.7200012,168.75,168.75,163.9499969,166.7200012,166.5291443,32138600.0
2024-10-29,Google,Q4,169.6799927,167.7299957,170.3800049,167.0899963,169.6799927,169.4857483,42169000.0
2024-10-30,Google,Q4,174.4600067,180.6799927,182.0200043,174.0599976,174.4600067,174.2602844,68890800.0
2024-10-31,Google,Q4,171.1100006,173.1300049,176.8200073,171.0,171.1100006,170.9141235,44769000.0
2024-11-01,Google,Q4,171.2899933,170.0700073,172.3200073,168.8800049,171.2899933,171.0939026,31796500.0
2024-11-04,Google,Q4,169.2400055,169.9299927,170.7299957,168.0099945,169.2400055,169.0462646,21492700.0
2024-11-05,Google,Q4,169.7400055,169.4299927,170.5299988,168.8399963,169.7400055,169.5457001,18242100.0
2024-11-06,Google,Q4,176.5099945,173.8000031,176.9400024,173.5,176.5099945,176.3079376,33695500.0
2024-11-07,Google,Q4,180.75,177.4100037,181.0800018,177.1900024,180.75,180.5430908,25352900.0
2024-11-08,Google,Q4,178.3500061,180.6499939,180.8999939,178.0800018,178.3500061,178.1458435,22006200.0
2024-11-11,Google,Q4,180.3500061,178.5800018,180.5500031,178.4700012,180.3500061,180.1435547,17450400.0
2024-11-12,Google,Q4,181.6199951,179.8200073,182.4900055,179.3899994,181.6199951,181.4120789,25134900.0
2024-11-13,Google,Q4,178.8800049,180.4600067,180.9600067,178.5399933,178.8800049,178.6752319,23184000.0
2024-11-14,Google,Q4,175.5800018,178.2799988,178.8200073,174.3200073,175.5800018,175.3789978,31007500.0
2024-11-15,Google,Q4,172.4900055,173.7299957,174.1399994,171.2200012,172.4900055,172.2925415,32504600.0
2024-11-18,Google,Q4,175.3000031,173.4199982,175.4400024,172.8999939,175.3000031,175.0993195,20206600.0
